,id,longitude,latitude,time,tmean,tmax,tmin,ppt,Timestamp,Year,Month,Day,DOY,NDVI,GD,GDD
0,19810101,-101.84941486172414,43.941226869999014,347112000000,1.8100000619888306,9.428000450134277,-5.808000087738037,0.0,1980-12-31,1980,12,31,366,,0.0,0.0
1,19810102,-101.84941486172414,43.941226869999014,347198400000,-1.8930001258850098,3.9769999980926514,-7.763999938964844,0.0,1981-01-01,1981,1,1,1,,0.0,0.0
2,19810103,-101.84941486172414,43.941226869999014,347284800000,-0.5490000247955322,9.503999710083008,-10.60200023651123,0.0,1981-01-02,1981,1,2,2,,0.0,0.0
3,19810104,-101.84941486172414,43.941226869999014,347371200000,-3.754000186920166,3.375,-10.883000373840332,0.0,1981-01-03,1981,1,3,3,,0.0,0.0
4,19810105,-101.84941486172414,43.941226869999014,347457600000,-4.703000068664551,0.2720000147819519,-9.678999900817871,0.0,1981-01-04,1981,1,4,4,,0.0,0.0
5,19810106,-101.84941486172414,43.941226869999014,347544000000,3.313000202178955,7.788000106811523,-1.1610000133514404,0.0,1981-01-05,1981,1,5,5,,0.0,0.0
6,19810107,-101.84941486172414,43.941226869999014,347630400000,-1.412000060081482,4.359000205993652,-7.184000015258789,0.0,1981-01-06,1981,1,6,6,,0.0,0.0
7,19810108,-101.84941486172414,43.941226869999014,347716800000,0.6700000166893005,8.755999565124512,-7.414999961853027,0.0,1981-01-07,1981,1,7,7,,0.0,0.0
8,19810109,-101.84941486172414,43.941226869999014,347803200000,-1.9380000829696655,3.638000011444092,-7.515999794006348,0.0,1981-01-08,1981,1,8,8,,0.0,0.0
9,19810110,-101.84941486172414,43.941226869999014,347889600000,-4.955000400543213,-1.4639999866485596,-8.446999549865723,0.0,1981-01-09,1981,1,9,9,,0.0,0.0
10,19810111,-101.84941486172414,43.941226869999014,347976000000,-1.2010000944137573,6.577000141143799,-8.980999946594238,0.0,1981-01-10,1981,1,10,10,,0.0,0.0
11,19810112,-101.84941486172414,43.941226869999014,348062400000,-1.7990001440048218,5.531000137329102,-9.130999565124512,0.0,1981-01-11,1981,1,11,11,,0.0,0.0
12,19810113,-101.84941486172414,43.941226869999014,348148800000,2.743000030517578,12.810999870300293,-7.324999809265137,0.0,1981-01-12,1981,1,12,12,,0.0,0.0
13,19810114,-101.84941486172414,43.941226869999014,348235200000,-0.706000030040741,4.353000164031982,-5.765999794006348,0.0,1981-01-13,1981,1,13,13,,0.0,0.0
